lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
5,00E-05;0,001;0;0,0009;64;3;50;sigmoid;linear;uniform;2,569017039;2,90408548;0,00291224;0,005156465
5,00E-05;0,001;0;0,0009;64;5;50;sigmoid;linear;uniform;2,632863283;2,907615746;0,001310877;0,004820508
5,00E-05;0,001;0;0,0009;32;5;50;sigmoid;linear;uniform;2,736418605;2,916765471;0,005058517;0,000436224
5,00E-05;0,001;0;0,0009;64;3;30;sigmoid;linear;uniform;2,561111428;2,954330592;0,011434596;0,018349126
5,00E-05;0,001;0;0,0009;32;3;30;sigmoid;linear;uniform;2,751532404;2,957550297;0,001108081;0,012073977
5,00E-05;0,001;0;0,0009;64;5;30;sigmoid;linear;uniform;2,702304518;2,973059167;0,000888316;0,003156386
5,00E-05;0,001;0;0,0009;32;3;50;sigmoid;linear;uniform;2,675740591;2,985228659;0,001608628;0,003452522
5,00E-05;0,001;0;0,0009;32;5;30;sigmoid;linear;uniform;2,800028655;3,053699679;0,000273944;0,002368946
5,00E-05;0,0001;0;0,0009;32;3;50;sigmoid;linear;uniform;8,822043872;8,838349923;0,005470135;0,01258445
5,00E-05;0,0001;0;0,0009;64;3;50;sigmoid;linear;uniform;9,352079425;9,396753631;0,008947019;0,02747777
5,00E-05;0,0001;0;0,0009;64;5;50;sigmoid;linear;uniform;9,529567658;9,590649518;0,014836522;0,074491589
5,00E-05;0,0001;0;0,0009;32;3;30;sigmoid;linear;uniform;15,24460203;15,26860104;0,011804056;0,052225994
5,00E-05;0,0001;0;0,0009;32;5;50;sigmoid;linear;uniform;17,03461734;17,04615801;0,006087557;0,037570826
5,00E-05;0,0001;0;0,0009;32;5;30;sigmoid;linear;uniform;18,11599109;18,11921411;0,003825564;0,00263455
5,00E-05;0,0001;0;0,0009;64;3;30;sigmoid;linear;uniform;19,08855782;19,12462388;0,192581105;0,838892417
5,00E-05;0,0001;0;0,0009;64;5;30;sigmoid;linear;uniform;20,34443007;20,36303757;0,133009799;0,572409407
