lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,001;adaptive;0,0009;64;3;30;sigmoid;linear;uniform;2,70817594;3,00907301;0,004338547;0,002609268
0,0005;0,01;adaptive;0,0009;64;3;30;sigmoid;linear;uniform;2,889064405;3,079689453;7,58E-05;0,000130013
0;0,001;adaptive;0,0009;64;3;30;sigmoid;linear;xavier;2,75383075;3,089181972;0,000367421;0,00046304
0,0005;0,01;adaptive;0,0009;64;1;30;sigmoid;linear;xavier;2,900787345;3,123651564;0,009073131;0,031471341
0,0005;0,01;adaptive;0,0009;64;1;30;sigmoid;linear;uniform;2,896261498;3,128906837;0,004308573;0,009483519
0,0005;0,01;adaptive;0,0009;64;1;30;tanh;linear;xavier;2,855595944;3,134326496;0,005416023;0,010851892
0,0005;0,01;adaptive;0,0009;128;3;30;sigmoid;linear;xavier;2,820582729;3,151944837;0,002431933;0,001982143
0,0005;0,01;adaptive;0,0009;64;3;30;tanh;linear;xavier;1,836844666;3,156845029;0,005278522;0,006153789
0,0005;0,01;adaptive;0,0009;64;1;30;tanh;linear;uniform;2,845332243;3,164273259;0,003764461;0,002487559
0,0005;0,01;adaptive;0,0009;64;3;10;tanh;linear;uniform;2,793643734;3,176341;0,000972743;0,028747849
0,0005;0,01;adaptive;0,0009;64;3;30;sigmoid;linear;xavier;2,946581483;3,225244181;0,010030188;0,013049471
0,0005;0,01;adaptive;0,0009;128;1;30;tanh;linear;xavier;2,982872806;3,231689905;0,001314071;0,008048077
0,0005;0,01;adaptive;0,0009;64;3;10;tanh;linear;xavier;2,811271646;3,236620533;0,000771022;0,027292125
0;0,01;adaptive;0,0009;64;3;10;sigmoid;linear;xavier;2,346497871;3,239252033;0,005265129;0,011030588
0;0,001;adaptive;0,0009;64;3;30;tanh;linear;xavier;2,262591617;3,241566424;0,013240232;0,01441629
0,0005;0,01;adaptive;0,0009;128;1;30;tanh;linear;uniform;2,949611552;3,243651792;0,004226087;0,011239432
0;0,01;adaptive;0,0009;64;1;10;sigmoid;linear;uniform;2,814056424;3,244687788;0,002949564;0,00190006
0;0,01;adaptive;0,0009;64;1;30;sigmoid;linear;xavier;2,407276025;3,246796478;0,001592021;0,025913824
0;0,01;adaptive;0,0009;128;1;30;sigmoid;linear;xavier;2,726845074;3,247889666;0,009786413;0,024683813
0;0,01;adaptive;0,0009;128;1;30;sigmoid;linear;uniform;2,681345221;3,264973141;0,000183634;0,006939941
0,0005;0,01;adaptive;0,0009;128;3;30;tanh;linear;uniform;2,153736888;3,266302493;0,000317765;0,003257296
0;0,01;adaptive;0,0009;64;1;10;sigmoid;linear;xavier;2,828700905;3,274277826;0,00126447;0,010232717
0,0005;0,01;adaptive;0,0009;128;3;30;sigmoid;linear;uniform;2,861158111;3,278881309;0,000706234;0,004657977
0;0,01;adaptive;0,0009;64;1;10;tanh;linear;xavier;2,912681985;3,282883658;0,006125884;0,018291986
0;0,01;adaptive;0,0009;64;1;30;sigmoid;linear;uniform;2,430474153;3,291566177;0,000798901;0,001242117
0;0,01;adaptive;0,0009;64;1;10;tanh;linear;uniform;2,888707038;3,300613681;0,000866029;0,004821395
0;0,01;adaptive;0,0009;128;1;30;tanh;linear;xavier;2,718398778;3,3013758;0,006312882;0,007134141
0;0,01;adaptive;0,0009;64;3;10;sigmoid;linear;uniform;2,254551197;3,301542593;0,00951975;0,005956994
0,0005;0,01;adaptive;0,0009;64;3;30;tanh;linear;uniform;1,811674301;3,309126005;0,003423203;0,012622421
0;0,01;adaptive;0,0009;128;1;30;tanh;linear;uniform;2,694369455;3,32723651;0,001478699;0,005741486
0,0005;0,01;adaptive;0,0009;128;3;30;tanh;linear;xavier;2,326735248;3,337825918;0,007223938;0,027283467
0,0005;0,01;adaptive;0,0009;128;1;30;sigmoid;linear;xavier;3,163922101;3,34069632;0,00035803;0,004046108
