lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,5;None;None;0,0009;None;1;1000;sigmoid;linear;uniform;3,946308996;4,405394391;0;0
0,5;None;None;0,0009;None;1;5000;sigmoid;linear;uniform;3,36693283;4,614518043;0;0
0,005;None;None;0,0009;None;1;100;sigmoid;linear;xavier;4,817626616;4,631672765;0;0
0,0005;None;None;0,0009;None;1;100;sigmoid;linear;uniform;4,229293733;4,748362535;0;0
0,5;None;None;0,0009;None;1;100;sigmoid;linear;uniform;4,619662554;4,763599436;0;0
0,0005;None;None;0,0009;None;1;100;sigmoid;linear;xavier;4,361334205;4,829416948;0;0
0,005;None;None;0,0009;None;1;100;sigmoid;linear;uniform;4,141213384;4,888875576;0;0
0,005;None;None;0,0009;None;1;1000;sigmoid;linear;xavier;5,142189415;4,971363352;0;0
0,0005;None;None;0,0009;None;1;5000;sigmoid;linear;xavier;5,186159419;4,978435276;0;0
0,5;None;None;0,0009;None;1;100;sigmoid;linear;xavier;5,174554857;5,023789165;0;0
0,0005;None;None;0,0009;None;1;1000;sigmoid;linear;xavier;4,875479208;5,055062963;0;0
0,5;None;None;0,0009;None;1;5000;sigmoid;linear;xavier;5,13344016;5,114526614;0;0
0,5;None;None;0,0009;None;1;1000;sigmoid;linear;xavier;5,122613535;5,152000684;0;0
0,005;None;None;0,0009;None;1;5000;sigmoid;linear;xavier;5,074993966;5,204783621;0;0
0,005;None;None;0,0009;None;1;1000;sigmoid;linear;uniform;2,60043189;5,488750706;0;0
0,0005;None;None;0,0009;None;1;1000;sigmoid;linear;uniform;1,872406426;6,661703014;0;0
0,005;None;None;0,0009;None;1;5000;sigmoid;linear;uniform;1,623694392;6,861463783;0;0
0,0005;None;None;0,0009;None;1;5000;sigmoid;linear;uniform;0,655285187;9,295152167;0;0
0,5;None;None;0,0009;None;1;1000;tanh;linear;uniform;14,41561295;29,79568454;0;0
0,005;None;None;0,0009;None;1;100;tanh;linear;xavier;28,08742312;30,75126168;0;0
0,0005;None;None;0,0009;None;1;100;tanh;linear;xavier;28,04676412;30,77138275;0;0
0,0005;None;None;0,0009;None;1;1000;tanh;linear;xavier;28,28196244;31,06186309;0;0
0,5;None;None;0,0009;None;1;100;tanh;linear;uniform;27,3553204;31,14514682;0;0
0,005;None;None;0,0009;None;1;100;tanh;linear;uniform;27,73453684;31,18940913;0;0
0,005;None;None;0,0009;None;1;1000;tanh;linear;xavier;30,32459579;32,24737967;0;0
0,0005;None;None;0,0009;None;1;100;tanh;linear;uniform;26,94947561;32,33006732;0;0
0,0005;None;None;0,0009;None;1;5000;tanh;linear;xavier;30,72132788;33,53652278;0;0
0,5;None;None;0,0009;None;1;5000;tanh;linear;uniform;6,877055272;35,24180535;0;0
0,5;None;None;0,0009;None;1;100;tanh;linear;xavier;32,81303818;35,37690026;0;0
0,005;None;None;0,0009;None;1;5000;tanh;linear;xavier;37,46363527;36,91933129;0;0
0,5;None;None;0,0009;None;1;1000;tanh;linear;xavier;48,45711349;49,34603236;0;0
0,5;None;None;0,0009;None;1;5000;tanh;linear;xavier;55,1667652;56,02765761;0;0
0,0005;None;None;0,0009;None;1;5000;tanh;linear;uniform;0,027684009;58,69200073;0;0
0,005;None;None;0,0009;None;1;5000;tanh;linear;uniform;0,244689929;59,05268878;0;0
0,005;None;None;0,0009;None;1;1000;tanh;linear;uniform;3,554170212;74,39560475;0;0
0,0005;None;None;0,0009;None;1;1000;tanh;linear;uniform;0,972686719;117,027842;0;0
