lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,07;adaptive;0,0009;128;1;300;tanh;linear;uniform;3,889018628;4,588208337;0,006968967;0,006573627
0,0005;0,07;adaptive;0,0009;64;1;300;tanh;linear;uniform;3,911959261;4,637144944;0,003263658;0,018745522
0,0005;0,01;adaptive;0,0009;64;1;300;tanh;linear;uniform;4,284008968;4,679706687;8,27E-05;0,00701533
0;0,07;adaptive;0,0009;128;1;150;tanh;linear;uniform;4,042607073;4,70060343;0,020336954;0,058501374
0,0005;0,07;adaptive;0,0009;64;1;150;tanh;linear;uniform;4,255797663;4,73087237;0,000553045;0,015090255
0,0005;0,07;adaptive;0,0009;128;1;150;tanh;linear;uniform;4,17317699;4,756636968;0,000232471;0,012939462
0;0,07;adaptive;0,0009;128;1;300;tanh;linear;uniform;3,669235929;4,806682147;0,002257697;0,002046439
0;0,07;adaptive;0,0009;64;1;300;sigmoid;linear;uniform;4,429726156;4,813035223;0,003056495;0,044258516
0;0,07;adaptive;0,0009;64;1;150;sigmoid;linear;uniform;4,582198475;4,845353688;0,000504599;0,006586721
0;0,07;adaptive;0,0009;64;1;150;tanh;linear;xavier;4,68660795;4,855931874;0,000755704;0,001734882
0;0,01;adaptive;0,0009;64;1;300;sigmoid;linear;uniform;4,680662435;4,857801802;0,003701389;0,010775524
0,0005;0,01;adaptive;0,0009;64;1;150;tanh;linear;uniform;4,611453307;4,87279543;0,001132186;0,002423465
0;0,07;adaptive;0,0009;64;1;150;tanh;linear;uniform;4,069931554;4,879542472;0,004982361;0,000954863
0;0,07;adaptive;0,0009;128;1;150;sigmoid;linear;uniform;4,695480832;4,892534524;0,009058983;0,007300669
0;0,07;adaptive;0,0009;128;1;300;sigmoid;linear;uniform;4,648946558;4,909152085;0,00616807;0,055180271
0,0005;0,07;adaptive;0,0009;128;1;300;sigmoid;linear;uniform;4,799392384;4,976097155;0,003764873;0,033888733
