lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,07;0;0,0009;64;3;30;tanh;linear;xavier;2,253300361;2,931577572;0,002266164;0,001589892
0;0,05;0;0,0009;64;3;30;tanh;linear;xavier;2,352197031;3,027525653;0,009430248;0,002825568
0;0,07;0;0,0009;64;3;30;sigmoid;linear;uniform;2,838437328;3,03415792;0,000173842;0,001049844
0;0,07;0;0,0009;128;3;30;tanh;linear;xavier;2,706263162;3,08103211;0,0065292;0,014866961
0;0,07;0;0,0009;64;3;30;sigmoid;linear;xavier;2,948149374;3,104960849;0,00727544;0,019362118
0;0,07;0;0,0009;64;1;30;tanh;linear;xavier;2,811986071;3,151969236;0,001530541;0,000756677
0;0,07;0;0,0009;64;1;30;tanh;linear;uniform;2,805213183;3,155529952;0,00010148;0,001545342
0;0,05;0;0,0009;64;3;30;sigmoid;linear;uniform;2,954232817;3,164823397;0,001172502;0,006221745
0;0,05;0;0,0009;128;3;30;tanh;linear;xavier;2,867866661;3,18623574;0,001452014;0,009296259
0;0,05;0;0,0009;64;1;30;tanh;linear;xavier;2,893662738;3,199549945;0,00301379;0,012033251
0;0,07;0;0,0009;128;3;30;tanh;linear;uniform;2,532717248;3,209678978;1,37E-05;0,00069458
0;0,05;0;0,0009;64;3;30;tanh;linear;uniform;2,059551955;3,214151059;0,005019831;0,0874728
0;0,05;0;0,0009;128;3;30;tanh;linear;uniform;2,708955181;3,217495311;0,000586078;0,002781411
0;0,05;0;0,0009;64;1;30;tanh;linear;uniform;2,860828984;3,225908808;0,000162968;0,000290372
0;0,05;0;0,0009;64;3;30;sigmoid;linear;xavier;3,095446856;3,240170977;0,006209986;0,00759904
0;0,07;0;0,0009;128;1;30;tanh;linear;uniform;3,125419572;3,274802044;0,00059085;0,002731795
0;0,07;0;0,0009;64;3;30;tanh;linear;uniform;1,871491916;3,28010342;0,000703229;0,005403756
0;0,07;0;0,0009;64;1;30;sigmoid;linear;uniform;3,214189625;3,348663545;0,001346763;0,002519282
0;0,07;0;0,0009;128;1;30;tanh;linear;xavier;3,178665061;3,365360177;0,003807881;0,014120304
0;0,07;0;0,0009;64;1;30;sigmoid;linear;xavier;3,214057826;3,366659624;8,22E-05;0,006059893
0;0,05;0;0,0009;128;1;30;tanh;linear;uniform;3,238586858;3,37948043;0,002674192;0,012045578
0;0,05;0;0,0009;128;1;30;tanh;linear;xavier;3,292716488;3,425421459;0,014552781;0,051990073
0;0,05;0;0,0009;64;1;30;sigmoid;linear;uniform;3,322156087;3,436944975;0,002454271;0,006843327
0;0,05;0;0,0009;64;1;30;sigmoid;linear;xavier;3,333276073;3,437983322;0,002571756;0,001931622
0;0,07;0;0,0009;128;1;30;sigmoid;linear;uniform;3,757863566;3,854669252;0,001247518;0,006008926
0;0,07;0;0,0009;128;1;30;sigmoid;linear;xavier;3,885627523;3,939382831;0,006280258;0,010831022
0;0,05;0;0,0009;128;1;30;sigmoid;linear;uniform;4,028192182;4,099412657;0,007206575;0,014647417
0,0005;0,05;0,2;0,0009;128;3;30;sigmoid;linear;xavier;4,067134211;4,295488153;0,43330234;0,261508884
0,0005;0,07;0,2;0,0009;128;3;30;sigmoid;linear;xavier;4,084023173;4,35793504;0,128378382;0,400542491
0;0,05;0;0,0009;128;1;30;sigmoid;linear;xavier;4,323187313;4,369888504;0,00107109;0,012837429
0,0005;0,07;0;0,0009;64;3;30;tanh;linear;xavier;4,396876949;4,489752981;0,005455015;0,040274895
0;0,07;0;0,0009;128;3;30;sigmoid;linear;uniform;4,412875431;4,4952302;0,000532853;0,01527892
0,0005;0,07;0;0,0009;64;3;30;tanh;linear;uniform;4,421985422;4,52297718;0,014797002;0,002498022
0,0005;0,07;0;0,0009;64;1;30;tanh;linear;uniform;4,647743828;4,712011381;0,006073702;0,0469185
0,0005;0,07;0;0,0009;64;1;30;tanh;linear;xavier;4,67403361;4,71438932;0,001077138;0,009270139
0,0005;0,05;0;0,0009;64;3;30;tanh;linear;uniform;5,140284535;5,193426679;0,017338644;0,077299508
0,0005;0,05;0;0,0009;64;3;30;tanh;linear;xavier;5,157402221;5,213833419;0,002794442;0,008793853
