lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.19959397441851312,0.22414430600404653,2.5528362561261033e-05,0.0002935129817321668,0.6160714285714285,0.5833333333333334,0.0006909013605442175,0.003684807256235829
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.20903334745749613,0.24309552461230757,4.9718855122193874e-05,0.0005316557981928628,0.5952380952380952,0.5416666666666666,0.002356150793650794,0.00347222222222222
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.2045578120820848,0.25299541325289937,4.797628466930105e-05,0.0002535697263987304,0.6071428571428571,0.511904761904762,0.0026041666666666674,0.002621882086167799
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,40,0.19701830271523468,0.2416242317379452,9.039869520324226e-05,0.0011906641627078436,0.6666666666666666,0.5416666666666666,0.0023561507936507953,0.0034722222222222225
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,50,0.18922167253879088,0.22768322107350816,0.00012661230489206425,0.0006068500998049718,0.7053571428571429,0.6190476190476191,0.000690901360544218,0.001771541950113379
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,0,0.008544232157021764,0.02584764593478331,2.8273734706996903e-05,0.0008229236950162665,0.9970238095238096,0.9821428571428571,1.7715419501133662e-05,0.000637755102040817
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,10,0.0033093947427659826,0.004772656211831579,1.783724379557995e-07,1.2188727289389808e-06,1.0,1.0,0.0,0.0
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,20,0.002544914106040817,0.0038227174079637403,1.0584880970325698e-08,6.923245808320483e-07,1.0,1.0,0.0,0.0
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,40,0.0030143083015370695,0.004425423428276117,7.793499111909012e-08,6.874463254445366e-07,1.0,1.0,0.0,0.0
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,50,0.002184718118344364,0.0029115878832891066,3.786382649376117e-09,3.5722661697511315e-07,1.0,1.0,0.0,0.0
