lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.19624159930477383,0.227921235893397,0.0001111129876367736,0.0003938241455447821,0.6101190476190476,0.5059523809523809,0.015376984126984123,0.01580215419501134
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.20678307615532343,0.24014157825393942,1.649904919289527e-05,0.00040741908866105637,0.6220238095238096,0.5357142857142857,0.0017183956916099778,0.003401360544217684
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.2051537456710395,0.2274027477167508,0.0001678918982230002,0.00021160215257360184,0.6339285714285715,0.5416666666666666,0.0003720238095238108,0.007086167800453513
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,40,0.19938391245080736,0.2543281430264804,1.231342861506487e-05,0.0002965284573531438,0.6279761904761905,0.5059523809523809,0.0013995181405895695,0.0004960317460317456
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,50,0.17926004495719616,0.2215841243515876,0.00016301096118181938,0.00014638523308180314,0.7261904761904763,0.5833333333333334,0.0019841269841269823,0.0026218820861677998
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,0,0.17137419441773702,0.2119244173946374,0.0001393241898775168,0.0008623389218337316,0.75,0.625,0.0013286564625850312,0.013392857142857139
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,10,0.17443608164962057,0.2106324329384818,3.439410619076083e-05,0.0009364729749987373,0.7351190476190476,0.6369047619047619,0.0009212018140589565,0.011975623582766446
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,20,0.20529919983190612,0.24926941436428166,6.958491078620281e-05,0.0002495024674743419,0.6369047619047619,0.5416666666666666,0.0007617630385487531,0.0021967120181405867
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,40,0.16388099146506271,0.21375010826471294,0.0002589537448276052,0.0006732779104899092,0.7946428571428571,0.6428571428571429,0.0010097789115646252,0.010416666666666666
0.0005,0.001,0.0009,32,1,7,tanh,tanh,uniform,50,0.19549998429917728,0.2280375557253332,7.567620175414617e-05,0.0007216050369260166,0.6726190476190476,0.5654761904761906,1.7715419501134102e-05,0.006448412698412696
0.0005,0.001,0.0009,169,1,3,tanh,tanh,uniform,0,0.17384060725913675,0.194066824697032,1.8925230756854328e-05,2.5556685771535882e-05,0.6845238095238094,0.6428571428571429,0.0016121031746031758,0.001488095238095238
0.0005,0.001,0.0009,169,1,3,tanh,tanh,uniform,10,0.20532556088621345,0.23809149660370313,3.40279065633918e-05,0.0004923699362663133,0.5744047619047619,0.5,0.005970096371882086,0.0
0.0005,0.001,0.0009,169,1,3,tanh,tanh,uniform,20,0.1558430141104056,0.19584640686772203,0.0011478924366465232,0.0006258990559361405,0.7886904761904763,0.7083333333333334,0.004747732426303854,0.007086167800453516
0.0005,0.001,0.0009,169,1,3,tanh,tanh,uniform,40,0.13002102833794518,0.16903231838384028,3.7379862057281423e-05,0.0008838688710583268,0.8809523809523809,0.744047619047619,0.004375708616780045,0.006448412698412694
0.0005,0.001,0.0009,169,1,3,tanh,tanh,uniform,50,0.148960044599045,0.18837163193625248,9.308638976050451e-05,9.375369425580348e-05,0.8214285714285713,0.6488095238095238,0.0019664115646258504,0.004535147392290245
0.0005,0.001,0.0009,169,1,7,tanh,tanh,uniform,0,0.05397281152122798,0.08585686297753321,6.578838884021707e-05,2.0018666364677942e-06,0.9970238095238096,0.9821428571428571,1.7715419501133662e-05,0.0
0.0005,0.001,0.0009,169,1,7,tanh,tanh,uniform,10,0.08354343362908055,0.11267589745351264,2.921267327882439e-05,0.0004983608250460635,0.9732142857142857,0.9166666666666666,0.000637755102040817,0.006448412698412694
0.0005,0.001,0.0009,169,1,7,tanh,tanh,uniform,20,0.10008007375901334,0.16914645918302462,5.523179447411126e-06,0.00045009141623065277,0.9523809523809524,0.8035714285714285,0.00012400793650793672,0.00021258503401360524
0.0005,0.001,0.0009,169,1,7,tanh,tanh,uniform,40,0.06011581730248561,0.10889694356577749,9.529398201939294e-05,0.0010628892066852742,0.9910714285714285,0.8928571428571429,5.314625850340164e-05,0.011054421768707483
0.0005,0.001,0.0009,169,1,7,tanh,tanh,uniform,50,0.12719805850937313,0.1630572636978278,0.00036825660055415867,3.19055602637814e-05,0.8720238095238094,0.7440476190476191,0.0027813208616780014,7.086167800453553e-05
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,0,0.04669781592576778,0.11750465200231648,0.0010687138846134086,0.007553588023630503,0.9434523809523809,0.8511904761904762,0.0016121031746031758,0.012400793650793655
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,10,0.03470035958014244,0.10519013112854105,0.002317178730719691,0.02176072293573239,0.9613095238095237,0.8690476190476191,0.0029939058956916114,0.03429705215419501
0.0005,0.1,0.0009,32,1,3,tanh,tanh,uniform,20,0.0004761316519273255,0.005107515963747557,1.054814760522527e-08,3.559791621172095e-05,1.0,1.0,0.0,0.0
