lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,seed,error_train,error_test,error_train_variance,error_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,0,0.09462263160629403,0.12100592435452771,1.2785958569829532e-05,0.00019074683486678453,0.9333333333333332,0.9,0.00024305555555555539,0.0004166666666666674
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,10,0.09902650006358944,0.12702407555178458,9.498616430660336e-05,0.0004410554506576681,0.9333333333333332,0.9250000000000002,3.472222222222198e-05,0.0004166666666666656
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,20,0.09045662651529218,0.11656704450554108,0.00040331245174491135,0.0005771886422950285,0.9333333333333332,0.9333333333333332,0.0005555555555555541,0.0022222222222222214
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,40,0.09072977207259703,0.12133972990752073,0.00022823685994751631,0.0004969894517199605,0.9375,0.9250000000000002,0.0004166666666666674,0.001666666666666666
0.0005,0.001,0.0009,32,1,3,tanh,tanh,uniform,50,0.08998276319712384,0.10355718516496132,0.00016395327101477182,0.0002466379721454628,0.9333333333333335,0.9333333333333332,0.00045138888888888936,0.0018055555555555544
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,0,0.009527069923828582,0.10779139677802126,1.1016551255914061e-07,0.0001420784390209452,1.0,0.875,0.0,0.0004166666666666674
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,10,0.019025953835023007,0.07783606479285955,3.57436513362512e-05,0.0007758883809338136,0.9875000000000002,0.8916666666666666,0.00010416666666666686,0.0022222222222222266
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,20,0.007810603731505766,0.13625013843648678,1.2544028517709854e-06,0.0019056518860277672,1.0,0.85,0.0,0.0054166666666666695
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,40,0.007389485609379173,0.1118466721006967,2.736971779805699e-06,0.0007872060069242451,1.0,0.875,0.0,0.0016666666666666696
0.0005,0.01,0.0009,32,1,3,tanh,tanh,uniform,50,0.0031415620008333196,0.11508667462225936,3.16594249372466e-07,0.0005596686820668676,1.0,0.8916666666666667,0.0,0.000972222222222224
