lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.0001;0.9;0.7;0.0009;64;1;4;tanh;tanh;uniform;0.004097029047481421;0.026135336921789837;5,44E+09;0.0004162252422132544;1.0;0.975609756097561;0.0;0.0011897679952409266
0.0001;0.9;0.9;0.0009;64;1;4;tanh;tanh;uniform;0.004783159011694997;0.03153362428142018;6,00E+09;0.0003501792169385144;1.0;0.9674796747967479;0.0;0.0009253751074096093
0.0001;0.7;0.7;0.0009;64;1;4;tanh;tanh;uniform;0.019141963510574126;0.04110623013610252;0.00020203878539471607;0.0007049922087553574;0.9878048780487805;0.9674796747967479;0.0002974419988102325;0.0009253751074096093
0.0001;0.7;0.9;0.0009;64;1;2;tanh;tanh;uniform;0.007069751231013235;0.05292824486526957;2,25E+10;0.000588728247301515;1.0;0.9268292682926829;0.0;0.0015863573269879032
0.002;0.9;0.7;0.0009;64;1;4;tanh;tanh;uniform;0.062473660700845396;0.08422775595053285;0.001619574447850823;0.0009597966276103224;0.9349593495934959;0.8943089430894308;0.00846057241060215;0.0033049110978914664
0.002;0.7;0.9;0.0009;64;1;4;tanh;tanh;uniform;0.05800561196275387;0.09137607546547304;0.0009871737322699671;0.00043227662879990114;0.9552845528455284;0.8861788617886179;0.0016194064379668176;0.0001321964439156589
0.0001;0.7;0.9;0.0009;64;1;4;tanh;tanh;uniform;0.008043978722538361;0.09754835255090864;3,40E+10;0.016563232575327675;1.0;0.9105691056910569;0.0;0.0159957697137947
0.0001;0.9;0.9;0.0009;64;1;2;tanh;tanh;uniform;0.01474803336549295;0.1057271514834494;0.00013961464012308828;0.005585097355382304;0.9959349593495935;0.8536585365853658;3,30E+11;0.015466983938132057
0.0001;0.9;0.7;0.0009;64;1;2;tanh;tanh;uniform;0.02585549232012621;0.11520223718893226;0.0005078436529969472;0.007982618870951355;0.9796747967479674;0.8455284552845529;0.000826227774472868;0.01837530570427655
0.002;0.7;0.7;0.0009;64;1;2;tanh;tanh;uniform;0.05781921312831015;0.11856425903811892;4,66E+10;0.000669035025843484;0.9674796747967479;0.8292682926829268;0.0001321964439156589;0.0011897679952409266
0.002;0.7;0.7;0.0009;64;1;4;tanh;tanh;uniform;0.06348325557139345;0.11931234940517314;8,06E+10;0.0014180173226201992;0.9796747967479674;0.8617886178861789;3,30E+11;0.014409412386806798
0.002;0.9;0.9;0.0009;64;1;2;tanh;tanh;uniform;0.05143769539407167;0.12107217147989675;3,57E+10;4,43E+10;0.959349593495935;0.8373983739837398;0.00042963844272589147;0.0001321964439156589
0.002;0.9;0.9;0.0009;64;1;4;tanh;tanh;uniform;0.08460907833514975;0.13361583314712372;0.002641406694579875;0.004732009412185975;0.9552845528455284;0.8536585365853658;0.002214290435587282;0.0035693039857227853
0.002;0.9;0.7;0.0009;64;1;2;tanh;tanh;uniform;0.06619419151179384;0.13692747973929334;0.0002472002380402686;0.003506388042147118;0.959349593495935;0.8373983739837398;0.0010245224403463533;0.0064776257518672775
0.002;0.7;0.9;0.0009;64;1;2;tanh;tanh;uniform;0.07322318773071389;0.13997923484356725;0.000608040141962832;0.004868464333870574;0.9105691056910569;0.8130081300813008;0.005585299755436573;0.020754841694758417
0.0001;0.7;0.7;0.0009;64;1;2;tanh;tanh;uniform;0.05264927300945621;0.201219309474067;0.0010323178510363061;0.012834846826506785;0.9390243902439025;0.7479674796747967;0.001883799325798135;0.01956507369951749
