lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.001;0.8;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.010921637186150678;0.012257104144069553;4,20E+11;6,38E+10;1.0;1.0;0.0;0.0
0.001;0.3;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.019465103238247527;0.022462516353254608;0.0001348214355998738;0.00015276579031146698;1.0;1.0;0.0;0.0
0.001;0.3;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.01914761771748299;0.023330971513315996;7,05E+09;8,76E+08;1.0;1.0;0.0;0.0
0.001;0.8;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.023633604782743654;0.023900657641224274;0.00029396253821948546;0.00022811428774150854;1.0;1.0;0.0;0.0
0.001;0.3;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.014811040729215526;0.024788926082507583;8,89E+10;0.00047455139017053117;1.0;0.9880952380952381;0.0;0.0002834467120181403
0.001;0.3;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.023081887363156566;0.03159606795330403;1,00E+09;2,36E+11;1.0;1.0;0.0;0.0
0.001;0.3;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.009241161486482203;0.03442903006545994;5,99E+06;3,01E+10;1.0;0.9702380952380952;0.0;0.0004960317460317464
0.001;0.8;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.023350703274290032;0.03548901978937548;1,04E+10;3,43E+11;1.0;1.0;0.0;0.0
0.001;0.8;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.020991894990142108;0.037922532163617746;1,84E+10;0.0001991586162261856;1.0;0.9940476190476191;0.0;7,09E+10
0.001;0.3;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.026980892043175702;0.04119027247486173;1,09E+11;9,33E+10;1.0;0.9940476190476191;0.0;7,09E+10
0.001;0.8;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.026623819075090333;0.04494000196888742;2,63E+11;0.0002965065736062259;1.0;0.9880952380952381;0.0;0.0002834467120181403
0.001;0.8;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.008525877951148467;0.05750293010098383;6,11E+08;0.0013548383187424594;1.0;0.9404761904761904;0.0;0.0026218820861678006
0.001;0.8;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.04180852066594682;0.06520981317531188;1,32E+11;2,62E+11;1.0;0.9821428571428571;0.0;0.000637755102040817
0.001;0.3;0.8;0.0009;64;1;9;tanh;sigmoid;uniform;0.04516959931078404;0.07345741868233767;1,28E+11;7,03E+10;1.0;0.9642857142857143;0.0;0.000637755102040817
0.001;0.3;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.0685912702608799;0.09123312798188953;6,27E+09;5,08E+10;0.9821428571428572;0.9404761904761904;5,31E+10;0.0002834467120181403
