lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,007;adaptive;0,0009;64;1;800;tanh;linear;uniform;3,843092203;4,496375545;0,005929434;0,027313912
0,0005;0,007;adaptive;0,0009;64;1;500;tanh;linear;uniform;3,965455682;4,506329108;0,005031493;0,051283499
0,0005;0,007;adaptive;0,0009;32;1;500;tanh;linear;uniform;4,107010578;4,559014303;0,019184557;0,021070859
0,0005;0,007;adaptive;0,0009;64;1;300;tanh;linear;uniform;4,184254787;4,601215223;0,000268413;0,003354186
0,0005;0,007;adaptive;0,0009;32;1;800;tanh;linear;uniform;4,068559094;4,609126276;0,00626241;0,029833114
0,0005;0,007;adaptive;0,0009;32;1;300;tanh;linear;uniform;4,288816189;4,634801616;8,95E-05;0,001254377
0,0005;0,0007;adaptive;0,0009;32;1;800;tanh;linear;uniform;4,640673831;4,852003914;0,000732258;0,000672292
0,0005;0,0007;adaptive;0,0009;32;1;500;tanh;linear;uniform;4,842373866;5,017977517;0,003927418;0,023911036
0,0005;0,0007;adaptive;0,0009;32;1;300;tanh;linear;uniform;4,981067034;5,114228085;0,00371544;0,006270663
0,0005;0,0007;adaptive;0,0009;64;1;800;tanh;linear;uniform;9,473435348;9,745169784;0,030587177;0,06421591
0,0005;0,0007;adaptive;0,0009;64;1;500;tanh;linear;uniform;10,12479906;10,37600732;0,009401238;0,038315743
0,0005;0,0007;adaptive;0,0009;64;1;300;tanh;linear;uniform;10,90001252;11,08445814;0,035482452;0,053180684
