lambda,stepsize,momentum,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,error_train,error_test,error_train_variance,error_test_variance
0.0,0.009,0,0.0009,32,3,30,tanh,linear,xavier,1.342127987891903,3.873548826917355,0.001994549369872391,0.021482341574803693
0.0,0.009,0,0.0009,32,3,50,tanh,linear,xavier,1.1345799726040866,3.790848235140363,0.0005413431836390215,0.037894256449300175
0.0,0.009,0,0.0009,32,5,30,tanh,linear,xavier,0.6865972602523548,4.316703466000054,0.0007481619951681004,0.012596415741807537
0.0,0.009,0,0.0009,32,5,50,tanh,linear,xavier,0.4113102389097388,4.285210934452688,0.00016013056888680116,0.019968182268491678
0.0,0.009,0,0.0009,64,3,30,tanh,linear,xavier,2.4089140913870004,3.0122391650910694,0.00047868380717803045,0.0025729146628416352
0.0,0.009,0,0.0009,64,3,50,tanh,linear,xavier,2.3412704545993703,3.1012634590086425,0.0010234755536505586,0.0037932817710321517
0.0,0.009,0,0.0009,64,5,30,tanh,linear,xavier,1.929768778731053,3.4343642704447697,0.011257369243022565,0.05707570014118383
0.0,0.009,0,0.0009,64,5,50,tanh,linear,xavier,1.8300984581630555,3.3994879473623723,0.010507183367004139,0.06531200396207108
0.0,0.009,0.001,0.0009,32,3,30,tanh,linear,xavier,0.4461897972105456,4.387329808176151,0.0035920947338170975,0.0781229888301263
0.0,0.009,0.001,0.0009,32,3,50,tanh,linear,xavier,0.19920030001893693,4.339895244301008,9.41027032895435e-05,0.04796450721440048
0.0,0.009,0.001,0.0009,32,5,30,tanh,linear,xavier,0.28486192436718655,4.291086025328673,0.010012578741397514,0.007205682092653119
0.0,0.009,0.001,0.0009,32,5,50,tanh,linear,xavier,0.1698286273373267,4.075145397671387,0.005067914356157117,0.04237224917633278
0.0,0.009,0.001,0.0009,64,3,30,tanh,linear,xavier,0.8181960875460071,4.0863575808576345,0.00018663908977449662,0.015663625899496558
0.0,0.009,0.001,0.0009,64,3,50,tanh,linear,xavier,0.572028123678788,4.088499734910695,5.8617276539445834e-05,0.016060117475232043
0.0,0.009,0.001,0.0009,64,5,30,tanh,linear,xavier,0.47475287482521966,4.272252579274696,0.025720150803581723,0.011222259871271697
0.0,0.009,0.001,0.0009,64,5,50,tanh,linear,xavier,0.22232317626426076,4.1393078316127045,7.137297313464972e-05,0.0376996655511541
0.0,0.0009,0,0.0009,32,3,30,tanh,linear,xavier,2.7633366735623093,3.119577536618772,0.0036903744397725692,0.0020725596176679314
0.0,0.0009,0,0.0009,32,3,50,tanh,linear,xavier,2.7051473506150727,3.088191168812996,0.0009072047136713203,0.005780009103164265
0.0,0.0009,0,0.0009,32,5,30,tanh,linear,xavier,2.491871817012551,3.2250376732161157,0.0006166664334825029,0.012708586369618849
0.0,0.0009,0,0.0009,32,5,50,tanh,linear,xavier,2.46930243764544,3.212102721483564,0.011882377962281641,0.02280688121026261
0.0,0.0009,0,0.0009,64,3,30,tanh,linear,xavier,4.210171479047477,4.396456870122349,0.0073967877819130804,0.03434621937419496
0.0,0.0009,0,0.0009,64,3,50,tanh,linear,xavier,3.535600066457635,3.655915673514068,0.007710105961273944,0.008800587039968851
0.0,0.0009,0,0.0009,64,5,30,tanh,linear,xavier,4.287453942308765,4.520861414180065,0.0004582552209366794,0.008235621724248398
0.0,0.0009,0,0.0009,64,5,50,tanh,linear,xavier,3.575177247845003,3.8174978998358697,0.001844142752912212,0.04626115611199566
0.0,0.0009,0.001,0.0009,32,3,30,tanh,linear,xavier,0.4718851668597988,4.374607056132834,0.0007267446666326289,0.028204791840495375
0.0,0.0009,0.001,0.0009,32,3,50,tanh,linear,xavier,0.24562448634101633,4.226728505478285,5.875859798285967e-07,0.0017840431958010873
0.0,0.0009,0.001,0.0009,32,5,30,tanh,linear,xavier,0.24081927264016978,4.370059541317704,0.0005906565312970874,0.0031038914699079274
0.0,0.0009,0.001,0.0009,32,5,50,tanh,linear,xavier,0.12963258473665681,4.118168216352578,0.0001413731558516951,0.00037799781023499214
0.0,0.0009,0.001,0.0009,64,3,30,tanh,linear,xavier,0.8986786921164768,4.124608573752091,0.0011333482118924287,0.05181523942467539
0.0,0.0009,0.001,0.0009,64,3,50,tanh,linear,xavier,0.7173561984709517,4.0822092277346655,0.006804482234590802,0.001348352050704369
0.0,0.0009,0.001,0.0009,64,5,30,tanh,linear,xavier,0.4708248242727832,4.304205143026241,0.0039987973066764335,0.00900654772114528
0.0,0.0009,0.001,0.0009,64,5,50,tanh,linear,xavier,0.32178442904329585,4.188521651742217,0.00845840143573555,0.028418023950867555
