lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0,0005;0,01;0;0,0009;128;1;200;tanh;linear;uniform;2,66754652;2,915026824;0,00390463;0,009569293
0,0005;0,01;0;0,0009;64;1;200;tanh;linear;uniform;2,708421729;2,951150309;0,001320818;0,002441592
0;0,07;0;0,0009;128;1;200;sigmoid;linear;uniform;2,775660682;2,968182013;0,000690637;0,001153704
0;0,01;0;0,0009;64;1;200;tanh;linear;uniform;2,42586944;3,018933003;5,57E-05;0,002865242
0,0005;0,07;0;0,0009;64;1;200;tanh;linear;uniform;2,631757639;3,023426575;0,007632186;0,0099011
0;0,07;0;0,0009;64;1;200;tanh;linear;xavier;2,874635681;3,034413395;0,002411576;0,01085865
0;0,01;0;0,0009;128;1;200;tanh;linear;uniform;2,555245237;3,035889331;0,000863145;0,004803599
0;0,01;0;0,0009;64;1;200;sigmoid;linear;uniform;2,896641082;3,038634917;0,000579218;0,004629749
0;0,07;0;0,0009;64;1;200;sigmoid;linear;uniform;2,754255011;3,039387648;0,003900735;0,007076768
0,0005;0,07;0;0,0009;128;1;200;tanh;linear;uniform;2,616772726;3,060051281;0,003083663;0,033443093
0;0,07;0;0,0009;128;1;200;tanh;linear;xavier;2,867278848;3,069685558;0,00029266;0,001911669
0;0,07;0;0,0009;128;1;200;tanh;linear;uniform;2,432586724;3,085500662;0,004044114;0,007799858
0;0,01;0;0,0009;64;1;80;tanh;linear;uniform;2,826042122;3,095431351;0,001117738;0,006070902
0;0,01;0;0,0009;128;1;200;sigmoid;linear;uniform;2,929101991;3,109869168;1,50E-05;0,001599702
0;0,07;0;0,0009;128;1;80;tanh;linear;xavier;2,954837348;3,109980174;0,000444403;0,000916943
0;0,07;0;0,0009;64;1;200;tanh;linear;uniform;2,390485046;3,111303603;0,000339669;0,00030664
0,0005;0,07;0;0,0009;128;1;80;tanh;linear;uniform;2,890689066;3,117391956;0,000266386;0,002097651
0;0,07;0;0,0009;128;1;80;tanh;linear;uniform;2,810563769;3,130981088;0,004084887;0,005325283
0,0005;0,01;0;0,0009;128;1;80;tanh;linear;uniform;2,98552746;3,138593372;0,001927658;0,006610326
0;0,07;0;0,0009;64;1;80;tanh;linear;xavier;2,939895219;3,141650247;0,001844079;0,004023209
0,0005;0,01;0;0,0009;64;1;80;tanh;linear;uniform;3,005651203;3,158517743;0,002106068;0,008182168
0;0,01;0;0,0009;64;1;200;tanh;linear;xavier;3,073260468;3,163966128;0,001759732;0,008545689
0;0,01;0;0,0009;128;1;80;tanh;linear;uniform;2,921193327;3,170728376;0,003457358;0,007428184
0,0005;0,07;0;0,0009;128;1;200;sigmoid;linear;uniform;3,058216748;3,183981796;0,003129292;0,011547034
0,0005;0,07;0;0,0009;64;1;80;tanh;linear;uniform;2,964733841;3,187063025;0,001232429;0,00540288
0,0005;0,07;0;0,0009;128;1;200;tanh;linear;xavier;3,090238822;3,193046018;0,002439282;0,007082857
0;0,07;0;0,0009;128;1;80;sigmoid;linear;uniform;3,008433312;3,195140963;7,59E-05;0,007744007
0;0,01;0;0,0009;64;1;80;sigmoid;linear;uniform;3,102331385;3,197313799;0,000154727;0,000128798
0;0,07;0;0,0009;128;1;30;sigmoid;linear;uniform;3,120105525;3,197856985;0,0035816;0,012647479
0;0,01;0;0,0009;64;1;80;tanh;linear;xavier;3,066456768;3,198552481;0,004184479;0,014160562
0;0,07;0;0,0009;64;1;80;sigmoid;linear;uniform;2,963943247;3,201423708;0,001188327;0,02243605
0;0,07;0;0,0009;64;1;80;tanh;linear;uniform;2,848022605;3,210349784;0,001163479;0,019015285
0,0005;0,07;0;0,0009;128;1;30;tanh;linear;xavier;3,143359449;3,213708714;0,000398315;0,001634866
0;0,07;0;0,0009;128;1;30;tanh;linear;xavier;3,097832885;3,216126574;0,002062045;0,006156122
0;0,01;0;0,0009;64;1;30;tanh;linear;xavier;3,129619118;3,217795314;3,00E-05;0,001135813
0;0,07;0;0,0009;64;1;30;sigmoid;linear;uniform;3,116203609;3,221028095;0,002282548;0,000955091
0,0005;0,07;0;0,0009;128;1;80;tanh;linear;xavier;3,067814236;3,221503718;0,000330786;0,000554077
0,0005;0,07;0;0,0009;64;1;200;tanh;linear;xavier;3,132389107;3,224821442;0,001838929;0,002383676
0,0005;0,07;0;0,0009;128;1;80;sigmoid;linear;uniform;3,158491882;3,239352701;0,002174192;0,006165952
0;0,07;0;0,0009;64;1;30;tanh;linear;xavier;3,115871675;3,244775665;0,003223281;0,012300205
0;0,01;0;0,0009;128;1;80;sigmoid;linear;uniform;3,153851765;3,247128316;0,000596737;0,002969523
0,0005;0,01;0;0,0009;128;1;200;sigmoid;linear;uniform;3,174402731;3,251684067;0,001515843;0,006492264
0,0005;0,07;0;0,0009;64;1;80;tanh;linear;xavier;3,120332892;3,253635556;0,002312053;0,010828354
0;0,001;0;0,0009;64;1;200;sigmoid;linear;uniform;3,191487605;3,261657308;0,001862862;0,007761498
0,0005;0,07;0;0,0009;64;1;30;tanh;linear;xavier;3,188776723;3,268527886;0,00116284;0,00224111
0;0,07;0;0,0009;64;1;30;sigmoid;linear;xavier;3,23744432;3,286400668;0,001279193;0,005467518
0,0005;0,01;0;0,0009;64;1;200;sigmoid;linear;uniform;3,205367449;3,289413773;0,00063122;0,001021608
0,0005;0,07;0;0,0009;64;1;200;sigmoid;linear;uniform;3,176743204;3,291003776;0,030739645;0,007655871
0,0005;0,01;0;0,0009;64;1;200;tanh;linear;xavier;3,252011883;3,291062086;0,000363809;0,002505912
0,0005;0,01;0;0,0009;128;1;200;tanh;linear;xavier;3,239435693;3,299129158;0,001507545;0,005882433
0;0,01;0;0,0009;64;1;30;sigmoid;linear;uniform;3,233587691;3,299424916;0,002265899;0,007525871
0,0005;0,01;0;0,0009;128;1;80;tanh;linear;xavier;3,23445104;3,301113205;0,002316789;0,010166311
0,0005;0,07;0;0,0009;64;1;80;sigmoid;linear;uniform;3,235892444;3,304646739;0,003029104;0,011053367
0,0005;0,01;0;0,0009;64;1;80;tanh;linear;xavier;3,244960659;3,306290593;0,003845528;0,013416263
0;0,001;0;0,0009;128;1;200;sigmoid;linear;uniform;3,262907563;3,317051693;0,001082457;0,005556272
0,0005;0,07;0;0,0009;128;1;30;sigmoid;linear;uniform;3,257400685;3,32216915;0,002039708;0,005200293
0;0,07;0;0,0009;128;1;30;sigmoid;linear;xavier;3,267196279;3,326444545;0,001274424;0,005504195
0,0005;0,01;0;0,0009;128;1;30;tanh;linear;xavier;3,282357965;3,329957883;0,001142394;0,002512998
0,0005;0,01;0;0,0009;128;1;80;sigmoid;linear;uniform;3,267030665;3,338826735;0,000948081;0,002312381
0;0,001;0;0,0009;64;1;80;sigmoid;linear;uniform;3,280383974;3,339870034;0,000501495;0,002033324
0,0005;0,01;0;0,0009;64;1;30;tanh;linear;xavier;3,298152649;3,343842233;0,000512332;0,000900438
0;0,01;0;0,0009;128;1;200;sigmoid;linear;xavier;3,304781502;3,345756372;0,002196706;0,009468682
0,0005;0,01;0;0,0009;64;1;80;sigmoid;linear;uniform;3,293637378;3,348381945;0,003736563;0,009966698
0;0,07;0;0,0009;64;1;80;sigmoid;linear;xavier;3,276617744;3,351391742;0,002735154;0,00713384
0,0005;0,07;0;0,0009;128;1;30;tanh;linear;uniform;3,247625665;3,354104304;0,001191834;0,00317934
0,0005;0,07;0;0,0009;64;1;30;tanh;linear;uniform;3,264997034;3,354294633;0,000857272;0,001760914
