lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;error_train;error_test;error_train_variance;error_test_variance
0;0,07;0;0,0009;64;3;30;sigmoid;linear;uniform;1,776808023;1,945880898;0,002353712;0,01031321
0;0,07;0;0,0009;64;3;30;sigmoid;linear;xavier;1,836317632;1,983560658;0,001368453;0,008430252
0;0,07;0;0,0009;128;3;30;tanh;linear;xavier;1,604960035;1,986388588;0,000196509;0,001155301
0;0,07;0;0,0009;64;1;30;tanh;linear;xavier;1,759239869;2,015221218;0,004382586;0,017011349
0;0,07;0;0,0009;64;1;30;tanh;linear;uniform;1,751969141;2,042261446;2,86E-05;0,00061313
0;0,01;0;0,0009;64;3;30;tanh;linear;xavier;1,75317921;2,0515268;0,000765229;0,000325549
0;0,01;0;0,0009;64;3;30;tanh;linear;uniform;1,576553491;2,051828426;0,001918872;0,004455638
0;0,07;0;0,0009;64;1;30;sigmoid;linear;uniform;1,971103145;2,088724462;0,001193881;0,002431785
0;0,07;0;0,0009;128;1;30;tanh;linear;xavier;1,951788993;2,104041349;0,001336705;0,003961717
0;0,07;0;0,0009;64;1;30;sigmoid;linear;xavier;1,97450629;2,107535041;0,000124537;0,000489632
0;0,07;0;0,0009;128;1;30;tanh;linear;uniform;1,958466366;2,120758608;0,000952555;0,009561926
0,0005;0,07;0,2;0,0009;64;3;30;sigmoid;linear;xavier;1,747280787;2,127286678;0,032287768;0,010508906
0;0,07;0;0,0009;128;3;30;tanh;linear;uniform;1,394524081;2,132231508;0,000588081;0,003181006
0;0,07;0;0,0009;128;3;30;sigmoid;linear;uniform;2,039425545;2,169619428;0,001071751;0,004411869
0;0,01;0;0,0009;64;1;30;tanh;linear;xavier;2,066409519;2,192085398;0,000744048;0,001619713
0;0,01;0;0,0009;64;1;30;tanh;linear;uniform;2,0555853;2,215574239;0,001857124;0,000979938
0,0005;0,07;0,2;0,0009;64;3;30;sigmoid;linear;uniform;1,85147384;2,26833747;0,208296946;0,191333936
0;0,07;0;0,0009;128;3;30;sigmoid;linear;xavier;2,244549652;2,28771937;0,002386915;0,016380159
0;0,07;0;0,0009;128;1;30;sigmoid;linear;uniform;2,233895347;2,309169143;0,002662808;0,011173775
0;0,07;0;0,0009;128;1;30;sigmoid;linear;xavier;2,264978009;2,311497564;0,000566614;0,003577659
0;0,07;0;0,0009;64;3;30;tanh;linear;xavier;1,06939128;2,344454027;0,001367066;0,00413865
0;0,07;0;0,0009;64;3;30;tanh;linear;uniform;0,847286048;2,405274412;0,000401052;0,001187522
0;0,01;0;0,0009;64;3;30;sigmoid;linear;uniform;2,39873629;2,457658535;0,000497792;0,00311363
0;0,01;0;0,0009;64;1;30;sigmoid;linear;uniform;2,401279164;2,458836025;0,000635988;0,000666015
0;0,01;0;0,0009;128;3;30;tanh;linear;uniform;2,251524362;2,467612974;0,007703731;0,022623007
0;0,01;0;0,0009;64;1;30;sigmoid;linear;xavier;2,44417563;2,482496871;0,000944411;0,00226031
