lambda,stepsize,momentum,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,error_train,error_test,error_train_variance,error_test_variance
0.0,0.01,0.0,0.0009,64,1,30,tanh,linear,uniform,2.055585300338325,2.2155742386978705,0.0018571236527119897,0.0009799377694607013
0.0,0.01,0.0,0.0009,64,1,30,tanh,linear,xavier,2.0664095185798725,2.1920853983944735,0.000744048108084114,0.0016197132953109617
0.0,0.01,0.0,0.0009,64,1,30,sigmoid,linear,uniform,2.401279163919343,2.458836025467998,0.0006359881533942732,0.0006660154830293957
0.0,0.01,0.0,0.0009,64,1,30,sigmoid,linear,xavier,2.4441756298910655,2.4824968712123083,0.0009444114308085071,0.0022603103405764526
0.0,0.01,0.0,0.0009,64,3,30,tanh,linear,uniform,1.5765534905436482,2.0518284262424484,0.001918872071466144,0.0044556383418384
0.0,0.01,0.0,0.0009,64,3,30,tanh,linear,xavier,1.7531792099166956,2.0515268004419194,0.0007652292189783919,0.00032554945867425104
0.0,0.01,0.0,0.0009,64,3,30,sigmoid,linear,uniform,2.3987362896671076,2.4576585345047026,0.000497791530606786,0.003113630018314837
0.0,0.01,0.0,0.0009,64,3,30,sigmoid,linear,xavier,3.681481667324378,3.7091343004056654,0.005325244221200914,0.001908804994431219
0.0,0.01,0.0,0.0009,128,1,30,tanh,linear,uniform,2.479849581838072,2.567949822097743,2.693270834612803e-05,0.003679456722932362
0.0,0.01,0.0,0.0009,128,1,30,tanh,linear,xavier,2.656897858152812,2.710000968559655,0.004660497312131578,0.00898273008199591
0.0,0.01,0.0,0.0009,128,1,30,sigmoid,linear,uniform,3.827717156010356,3.8656034195666873,0.004070012805211384,0.018471332347241114
0.0,0.01,0.0,0.0009,128,1,30,sigmoid,linear,xavier,4.605126946189452,4.627667504304235,0.007490425970464874,0.09988711778258393
0.0,0.01,0.0,0.0009,128,3,30,tanh,linear,uniform,2.2515243618979084,2.4676129736844703,0.007703730783081858,0.022623007451684895
0.0,0.01,0.0,0.0009,128,3,30,tanh,linear,xavier,2.629764812072193,2.7372333061386382,0.0003916976752415077,0.004952705156807413
0.0,0.01,0.0,0.0009,128,3,30,sigmoid,linear,uniform,5.06132950188051,5.07600777833821,0.0007738388303547608,0.0002942454219422956
0.0,0.01,0.0,0.0009,128,3,30,sigmoid,linear,xavier,5.689698110507227,5.718560511350997,0.007207088379196068,0.013076204849867268
0.0,0.01,0.2,0.0009,64,1,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,64,1,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,64,1,30,sigmoid,linear,uniform,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,64,1,30,sigmoid,linear,xavier,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,64,3,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,64,3,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,64,3,30,sigmoid,linear,uniform,10.789949685524943,10.788313053711521,0.01177423231780645,0.008295011815433915
0.0,0.01,0.2,0.0009,64,3,30,sigmoid,linear,xavier,10.807580198573321,10.811615526899748,0.010000509915563517,0.012158050600046724
0.0,0.01,0.2,0.0009,128,1,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,128,1,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,128,1,30,sigmoid,linear,uniform,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,128,1,30,sigmoid,linear,xavier,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,128,3,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,128,3,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.01,0.2,0.0009,128,3,30,sigmoid,linear,uniform,10.741176687951983,10.785772964330922,0.0018230596061623045,0.006075254979927847
0.0,0.01,0.2,0.0009,128,3,30,sigmoid,linear,xavier,10.922423524908728,10.946366301017628,0.06062857287988097,0.05074909348191287
0.0,0.07,0.0,0.0009,64,1,30,tanh,linear,uniform,1.7519691407206992,2.0422614455536214,2.858726213956531e-05,0.0006131302069404192
0.0,0.07,0.0,0.0009,64,1,30,tanh,linear,xavier,1.7592398689339082,2.0152212177373747,0.004382585828158895,0.01701134851456258
0.0,0.07,0.0,0.0009,64,1,30,sigmoid,linear,uniform,1.9711031445199882,2.0887244622798744,0.0011938810893919753,0.0024317849961914425
0.0,0.07,0.0,0.0009,64,1,30,sigmoid,linear,xavier,1.9745062900115162,2.107535041170262,0.0001245365942813475,0.0004896321281611134
0.0,0.07,0.0,0.0009,64,3,30,tanh,linear,uniform,0.8472860479790066,2.4052744117346974,0.0004010524498410861,0.0011875217262330318
0.0,0.07,0.0,0.0009,64,3,30,tanh,linear,xavier,1.0693912803943952,2.3444540272000105,0.0013670664369403475,0.004138649536607897
0.0,0.07,0.0,0.0009,64,3,30,sigmoid,linear,uniform,1.776808022846863,1.945880897621269,0.00235371229124333,0.010313209912543699
0.0,0.07,0.0,0.0009,64,3,30,sigmoid,linear,xavier,1.8363176317435184,1.9835606575326554,0.0013684530503930128,0.00843025155826472
0.0,0.07,0.0,0.0009,128,1,30,tanh,linear,uniform,1.9584663657125512,2.120758607567654,0.0009525545115047473,0.009561925597781617
0.0,0.07,0.0,0.0009,128,1,30,tanh,linear,xavier,1.9517889927614547,2.104041349343173,0.0013367050841428107,0.00396171747606897
0.0,0.07,0.0,0.0009,128,1,30,sigmoid,linear,uniform,2.2338953472164227,2.309169142730678,0.00266280783121871,0.011173774607173942
0.0,0.07,0.0,0.0009,128,1,30,sigmoid,linear,xavier,2.2649780088699285,2.3114975644324125,0.0005666138148793179,0.003577658713704541
0.0,0.07,0.0,0.0009,128,3,30,tanh,linear,uniform,1.3945240812609567,2.1322315083326795,0.0005880814962209952,0.0031810055582284515
0.0,0.07,0.0,0.0009,128,3,30,tanh,linear,xavier,1.604960035453237,1.9863885882582366,0.00019650852850071343,0.0011553009569865436
0.0,0.07,0.0,0.0009,128,3,30,sigmoid,linear,uniform,2.039425544920589,2.1696194278052157,0.00107175068028506,0.004411869314098782
0.0,0.07,0.0,0.0009,128,3,30,sigmoid,linear,xavier,2.2445496519644137,2.2877193698344223,0.0023869150668701443,0.016380158929198183
0.0,0.07,0.2,0.0009,64,1,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,64,1,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,64,1,30,sigmoid,linear,uniform,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,64,1,30,sigmoid,linear,xavier,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,64,3,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,64,3,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,64,3,30,sigmoid,linear,uniform,11.12131979859363,11.222929820539667,0.15586985973374248,0.9476966537998415
0.0,0.07,0.2,0.0009,64,3,30,sigmoid,linear,xavier,10.689534986749743,10.719464186743123,0.011692519270616611,0.007944197430497318
0.0,0.07,0.2,0.0009,128,1,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,128,1,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,128,1,30,sigmoid,linear,uniform,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,128,1,30,sigmoid,linear,xavier,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,128,3,30,tanh,linear,uniform,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,128,3,30,tanh,linear,xavier,nan,nan,nan,nan
0.0,0.07,0.2,0.0009,128,3,30,sigmoid,linear,uniform,10.776645259726779,10.769449261290495,0.0013133745957151644,0.0004214703573204865
0.0,0.07,0.2,0.0009,128,3,30,sigmoid,linear,xavier,10.739032272377363,10.759870875418825,0.0002536777384832173,0.0087959952032651
0.0005,0.01,0.0,0.0009,64,1,30,tanh,linear,uniform,6.590038310870615,6.599135760902457,0.006169183907622377,0.02691539477515738
0.0005,0.01,0.0,0.0009,64,1,30,tanh,linear,xavier,6.615394302122701,6.622687989427348,0.001974981614273815,0.0011174237979095743
0.0005,0.01,0.0,0.0009,64,1,30,sigmoid,linear,uniform,8.579212754463839,8.62284765882656,0.0014907649007930431,0.15428226163046688
0.0005,0.01,0.0,0.0009,64,1,30,sigmoid,linear,xavier,8.529959539273102,8.57828114174709,0.004234979901780843,0.0524441030689328
0.0005,0.01,0.0,0.0009,64,3,30,tanh,linear,uniform,6.08797138477303,6.106254664508021,0.0077182013362424575,0.04636222106835647
0.0005,0.01,0.0,0.0009,64,3,30,tanh,linear,xavier,6.079431009220727,6.0987920855586175,0.00303004999418117,0.017070465824009076
0.0005,0.01,0.0,0.0009,64,3,30,sigmoid,linear,uniform,10.743528280132026,10.780718394311416,0.020358253982333752,0.045745407257051174
0.0005,0.01,0.0,0.0009,64,3,30,sigmoid,linear,xavier,10.748119394013427,10.768096006478899,0.027962872035771913,0.05457674699679843
0.0005,0.01,0.0,0.0009,128,1,30,tanh,linear,uniform,9.67792707273935,9.683817653767099,0.010343131520536803,0.05370687999481002
0.0005,0.01,0.0,0.0009,128,1,30,tanh,linear,xavier,9.662516173069712,9.68289154085157,0.00037254496358343753,0.21648782555324084
