lambda,stepsize,momentum,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,error_train,error_test,error_train_variance,error_test_variance
0.0,0.001,0.0,0.0009,64,1,30,tanh,linear,uniform,16.918432291644518,17.122130498302965,8.576305052352036e-05,0.002702909647788821
0.0,0.001,0.0,0.0009,64,1,30,tanh,linear,xavier,19.122807665265885,19.23225281245087,0.022985828492838697,0.03293032296169141
0.0,0.001,0.0,0.0009,64,1,30,sigmoid,linear,uniform,3.5025197966015598,3.541814862053029,4.021883739833079e-06,0.0027037051938428613
0.0,0.001,0.0,0.0009,64,1,30,sigmoid,linear,xavier,3.6182584559167097,3.6491191920530963,0.0011900805365635191,0.008805567020449498
0.0,0.001,0.0,0.0009,64,1,80,tanh,linear,uniform,14.724932561585307,15.29406099164097,0.029345042807168497,0.00046962397683321687
0.0,0.001,0.0,0.0009,64,1,80,tanh,linear,xavier,19.723321148441702,20.07599139130474,0.014117883802463019,0.025744713479244553
0.0,0.001,0.0,0.0009,64,1,80,sigmoid,linear,uniform,3.280383973830015,3.3398700343931336,0.000501495130409935,0.0020333243727463507
0.0,0.001,0.0,0.0009,64,1,80,sigmoid,linear,xavier,3.3732456556662442,3.405713129972833,0.0017224076932426495,0.0052781070582472054
0.0,0.001,0.0,0.0009,64,1,200,tanh,linear,uniform,12.220792295279642,12.839470068712735,0.0002879605301906553,0.008737709612550005
0.0,0.001,0.0,0.0009,64,1,200,tanh,linear,xavier,20.26730190164848,20.58121902900393,0.005862585546914337,0.012043836742149669
0.0,0.001,0.0,0.0009,64,1,200,sigmoid,linear,uniform,3.1914876051539967,3.26165730816831,0.001862861521024108,0.007761498090195056
0.0,0.001,0.0,0.0009,64,1,200,sigmoid,linear,xavier,3.343395661106237,3.370690854895942,7.080029103946288e-06,2.8989253258978418e-05
0.0,0.001,0.0,0.0009,128,1,30,tanh,linear,uniform,25.529851973029412,25.748008247749283,0.08992439906731357,0.11462858710822392
0.0,0.001,0.0,0.0009,128,1,30,tanh,linear,xavier,27.961449599171598,28.319312360860177,0.01339413604644162,0.028700042222300687
