lambda,stepsize,epsilon,batch_size,layer_number,neuron,activation,activation_output,initialization,mse_train,mse_test,mse_train_variance,mse_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.0,0.2,0.0009,32,1,25,sigmoid,linear,uniform,0.16463711423317423,0.2722037949625882,0.0010670502380815698,0.0002024397557803683,0.7764227642276422,0.6747967479674797,0.0030074690990812346,0.0017185537709035617
0.0,0.2,0.0009,32,1,50,sigmoid,linear,uniform,0.0971432601634758,0.2007296745810071,7.316281756054784e-05,0.0009509373724120814,0.9024390243902438,0.7235772357723578,0.003073567321039065,0.00409808976138542
0.0,0.2,0.0009,32,1,100,sigmoid,linear,uniform,0.07657799607980674,0.1573396657585717,1.8004540732953208e-05,0.0005248577175518072,0.9308943089430896,0.7560975609756099,3.304911097891412e-05,0.0011897679952409302
0.0,0.4,0.0009,32,1,25,sigmoid,linear,uniform,0.14421016415994467,0.21218635557637822,0.000413883030490838,0.0009387794517893127,0.8048780487804877,0.6747967479674797,0.002082093991671623,0.0005287857756626333
0.0,0.4,0.0009,32,1,50,sigmoid,linear,uniform,0.2315901727810422,0.2519922600700771,0.011788878455918797,0.006103434251372536,0.7032520325203252,0.6829268292682927,0.02323352501817701,0.007535197303192538
0.0,0.4,0.0009,32,1,100,sigmoid,linear,uniform,0.12830528798740945,0.2484912617158084,0.0004295899692176796,0.0038663845634715134,0.8495934959349594,0.7235772357723578,0.0010245224403463533,0.002511732434397514
0.0001,0.2,0.0009,32,1,25,sigmoid,linear,uniform,0.25011082914258936,0.2839154377372886,0.018000788276346397,0.002696070317034504,0.6951219512195123,0.6747967479674797,0.012591711282966487,0.0001321964439156589
0.0001,0.2,0.0009,32,1,50,sigmoid,linear,uniform,0.21121187917646755,0.3220741683136043,0.020184560541546007,0.006191590541256908,0.7560975609756097,0.6341463414634146,0.015566131271068812,0.00039658933174697666
0.0001,0.2,0.0009,32,1,100,sigmoid,linear,uniform,0.08600453352069755,0.17068478036190113,0.000205906899112236,0.00027832401050856525,0.9268292682926829,0.7723577235772359,0.0003965893317469749,0.0009253751074096124
0.0001,0.4,0.0009,32,1,25,sigmoid,linear,uniform,0.17014968430367486,0.3286489837850443,0.003118969955487954,0.006032082977207631,0.7601626016260162,0.5853658536585367,0.007369951748297968,0.010707911957168354
0.0001,0.4,0.0009,32,1,50,sigmoid,linear,uniform,0.219517392325607,0.3102810939249216,0.008525555500167483,0.005883231270869561,0.6991869918699187,0.6666666666666666,0.00816313041179192,0.0009253751074096093
0.0001,0.4,0.0009,32,1,100,sigmoid,linear,uniform,0.18308341426127694,0.30293391534257813,0.003168680652753119,0.0005706093619632582,0.7804878048780489,0.6178861788617888,0.009617291294864168,0.002511732434397515
