lambda;stepsize;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.002;0.8;0.0009;32;1;150;tanh;linear;uniform;0.7942303823171474;121.782.175.235.826;0.07512498889305769;0.1001767515501867;0.6696428571428571;0.5119047619047619;0.0070684523809523845;0.004747732426303851
0.002;0.3;0.0009;32;1;150;tanh;linear;uniform;0.6181152800026147;1.137.966.880.393.640;0.3573513311723049;0.5154126452200875;0.6934523809523809;0.5;0.028557256235827663;0.010416666666666671
0.0001;0.8;0.0009;32;1;100;sigmoid;linear;xavier;18.879.824.546.268.700;1.934.600.834.244.710;12.856.100.673.870.900;13.659.163.192.455.200;0.41071428571428575;0.3988095238095238;0.0026041666666666674;0.0002834467120181403
0.0001;0.8;0.0009;32;1;100;tanh;linear;uniform;26.652.480.176.868.200;3.219.237.193.894.900;30.245.542.525.436.800;38.825.182.241.581.900;0.5922619047619048;0.5476190476190476;0.014101473922902494;0.005172902494331063
0.0001;0.8;0.0009;32;1;150;tanh;linear;uniform;4.357.543.585.501.840;4.267.122.108.968.540;29.715.909.850.188.700;19.068.036.332.126.600;0.7291666666666666;0.5892857142857143;0.008574263038548748;0.00021258503401360524
0.0001;0.3;0.0009;32;1;100;tanh;linear;uniform;0.3646659108074028;10.270.413.862.752.200;0.007173365779262221;0.0206067235287894;0.7410714285714285;0.5178571428571429;0.0033482142857142842;0.001913265306122447
0.0001;0.3;0.0009;32;1;150;sigmoid;linear;uniform;0.9255220163041473;12.510.532.280.319.000;0.07316588136851314;0.06416289747252253;0.5773809523809524;0.46428571428571425;0.009902919501133785;0.019770408163265307
0.002;0.8;0.0009;32;1;150;tanh;linear;xavier;13.814.636.015.211.800;15.561.606.450.846.000;0.32761123384701796;0.4747868510998907;0.48214285714285715;0.43452380952380953;0.0010097789115646263;0.0043225623582766465
0.0001;0.8;0.0009;32;1;150;tanh;linear;xavier;17.598.095.723.628.600;19.743.802.273.124.100;1.692.717.745.840.490;1.185.564.804.326.030;0.5773809523809524;0.4761904761904762;0.0038442460317460324;0.002621882086167801
0.0001;0.3;0.0009;32;1;150;tanh;linear;uniform;15.681.891.104.750.800;28.389.691.581.350.800;3.766.702.438.517.550;8.497.544.828.588.060;0.7232142857142857;0.5238095238095238;0.034598214285714274;0.0013463718820861663
0.002;0.8;0.0009;32;1;100;tanh;linear;uniform;3.766.406.040.137.850;33.517.877.782.387.600;23.064.798.784.902.100;130.788.965.540.709;0.6845238095238094;0.4761904761904761;0.0004428854875283459;0.004747732426303853
0.002;0.3;0.0009;32;1;50;tanh;linear;xavier;0.19422807908044856;0.25608147255791813;0.0011773165464330694;0.0002450894286956222;0.7232142857142857;0.6547619047619048;0.0022852891156462593;0.004535147392290252
0.002;0.3;0.0009;32;1;50;sigmoid;linear;xavier;0.23467753909916986;0.2699762758511246;0.00044749716745534873;0.001012861088725479;0.6339285714285715;0.625;0.0006377551020408171;0.0027636054421768708
0.002;0.3;0.0009;32;1;100;sigmoid;linear;xavier;0.25923966705436624;0.2717231838418494;0.0009641805809056419;0.0005970784088774996;0.5476190476190476;0.5416666666666666;0.005119756235827662;0.007298752834467118
0.0001;0.3;0.0009;32;1;50;tanh;linear;xavier;0.13725348014680339;0.3016831950840291;0.0003059392711385745;0.00039339829156570137;0.8184523809523809;0.5833333333333334;0.00028344671201814206;0.0009212018140589565
0.002;0.3;0.0009;32;1;150;sigmoid;linear;xavier;0.25176883681334244;0.3193106722560093;0.0008107638189365101;0.00483017386961786;0.5833333333333333;0.43452380952380953;0.004375708616780044;0.0026218820861678006
0.0001;0.3;0.0009;32;1;50;sigmoid;linear;xavier;0.2594945336166815;0.3269474490569049;0.003125969832191549;0.005079678749085806;0.5922619047619048;0.5059523809523809;0.008202239229024943;0.0047477324263038535
0.0001;0.3;0.0009;32;1;50;sigmoid;linear;uniform;0.25575050142556005;0.3290378698748088;0.01934514353226942;0.007672425701438848;0.6369047619047619;0.5595238095238094;0.02871669501133786;0.009424603174603176
0.0001;0.8;0.0009;32;1;150;sigmoid;linear;uniform;0.2131891551690139;0.3321304396480327;0.007275242258577623;0.001452243269838033;0.7261904761904763;0.6011904761904763;0.008414824263038556;0.0034722222222222225
0.0001;0.3;0.0009;32;1;150;sigmoid;linear;xavier;0.31137833061903825;0.3523484481731957;0.016068240303813718;0.019369973138000745;0.6220238095238096;0.5833333333333334;0.0008680555555555547;0.0009212018140589565
0.0001;0.3;0.0009;32;1;150;tanh;linear;xavier;0.17894473414748227;0.36786045909178994;0.0020025313658828133;0.004615437445038776;0.7678571428571429;0.5357142857142857;0.0026041666666666665;0.00021258503401360524
0.0001;0.3;0.0009;32;1;100;tanh;linear;xavier;0.19285900541959303;0.3835908008715309;0.00016117213389468175;0.007509854853268491;0.7559523809523809;0.5714285714285715;0.0011337868480725648;0.00021258503401360524
0.0001;0.8;0.0009;32;1;100;sigmoid;linear;uniform;0.2429850254338564;0.3960017236389534;0.012211860809876214;0.01663686575190709;0.6517857142857143;0.5178571428571429;0.02333120748299319;0.010204081632653062
0.002;0.3;0.0009;32;1;100;sigmoid;linear;uniform;0.4049974631021902;0.44712823779969874;0.009708125787301276;0.0007887287044885823;0.49702380952380953;0.5178571428571429;0.017077664399092973;0.015518707482993199
0.002;0.3;0.0009;32;1;50;sigmoid;linear;uniform;0.39840213666945634;0.46381942181122254;0.01278912270697795;0.008697756213512126;0.6220238095238095;0.5416666666666666;0.0004960317460317464;0.0053854875283446705
0.002;0.8;0.0009;32;1;50;tanh;linear;uniform;0.3887240816699067;0.46848447202040505;0.012337009238210002;0.018064222633920796;0.6636904761904762;0.6666666666666666;0.0010806405895691623;0.0019841269841269866
0.0001;0.3;0.0009;32;1;100;sigmoid;linear;uniform;0.35285166118842054;0.4993918068170819;0.020856883533734258;0.04374137271993841;0.6964285714285715;0.6309523809523809;0.005739795918367346;0.0034722222222222225
0.0001;0.8;0.0009;32;1;150;sigmoid;linear;xavier;0.4226701445798871;0.5032741556511958;0.008089582310270524;0.01584972002262725;0.40178571428571425;0.375;0.00037202380952380885;0.0006377551020408157
0.002;0.3;0.0009;32;1;50;tanh;linear;uniform;0.20140061370619888;0.5245125451326138;0.0016244252858124634;0.0017289091220073817;0.761904761904762;0.5595238095238096;0.0017183956916099763;0.0004960317460317464
0.002;0.8;0.0009;32;1;150;sigmoid;linear;xavier;0.47146914437835535;0.5458685569311216;0.00034945661591108987;0.0010244975698783497;0.4583333333333333;0.4583333333333333;0.014367205215419501;0.015802154195011336
