lambda;stepsize;momentum;epsilon;batch_size;layer_number;neuron;activation;activation_output;initialization;mse_train;mse_test;mse_train_variance;mse_test_variance;acc_train;acc_test;acc_train_variance;acc_validation_variance
0.001;0.8;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.020042525500586387;0.025652650237810114;5,24E+10;1,88E+11;1.0;1.0;0.0;0.0
0.001;0.3;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.015877283252922533;0.03250908843551382;2,55E+11;1,98E+11;1.0;0.991869918699187;0.0;0.0001321964439156589
0.001;0.3;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.010239555181496924;0.03741109705350715;2,34E+09;0.0002569725102482947;1.0;0.9674796747967479;0.0;0.0009253751074096093
0.001;0.3;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.013010011344813;0.04136116968957467;3,75E+10;0.0005102012673557065;1.0;0.9674796747967479;0.0;0.0021151431026505377
0.001;0.8;0.8;0.0009;64;1;9;tanh;tanh;uniform;0.026851035371277972;0.05217593323246611;0.00011909106164312782;0.00045893337231713146;1.0;0.9674796747967479;0.0;0.0009253751074096093
0.001;0.8;0.8;0.0009;64;3;9;tanh;tanh;uniform;0.013932693661639205;0.05275398774624523;1,63E+10;0.0002479959462943128;0.991869918699187;0.9349593495934959;0.0001321964439156589;0.0017185537709035615
0.001;0.3;0.8;0.0009;64;1;3;tanh;tanh;uniform;0.03048897431923438;0.0539994749875155;0.00037407586613939374;0.0005164773587036788;1.0;0.975609756097561;0.0;0.0011897679952409266
0.001;0.8;0.8;0.0009;64;3;3;tanh;tanh;uniform;0.01688669842735513;0.061278129442666966;4,58E+11;0.0010622214236144054;0.9959349593495935;0.9186991869918698;3,30E+11;0.0021151431026505377
0.001;0.8;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.046477798083516784;0.06712842187545914;0.0008379897764725242;0.0013974385624020448;0.959349593495935;0.9430894308943089;0.0009253751074096098;0.0025117324343975145
0.001;0.3;0.8;0.0009;64;3;9;tanh;sigmoid;uniform;0.04306415966886066;0.06854653601108492;0.0006433536986159917;0.0019261522360188915;0.9634146341463414;0.9430894308943089;0.0006940313305572092;0.0017185537709035615
0.001;0.8;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.029451662414922915;0.07320474621479507;1,46E+11;0.0012302519967094007;1.0;0.9430894308943089;0.0;0.0017185537709035615
0.001;0.3;0.3;0.0009;64;1;9;tanh;tanh;uniform;0.0299049879973666;0.07424513798810074;2,89E+10;0.00010463942405246323;1.0;0.91869918699187;0.0;0.0001321964439156589
0.001;0.3;0.3;0.0009;64;3;9;tanh;tanh;uniform;0.047821710498633374;0.0888680906465074;2,66E+11;0.0004814011919742908;0.9959349593495935;0.9105691056910569;3,30E+11;0.0017185537709035626
0.001;0.8;0.3;0.0009;64;1;3;tanh;tanh;uniform;0.03405699829029784;0.08980687010339654;7,69E+09;0.0019304244969522483;0.9878048780487805;0.8617886178861789;0.0002974419988102325;0.008460572410602161
0.001;0.8;0.8;0.0009;64;1;3;tanh;sigmoid;uniform;0.052296550354913866;0.09340424086832144;0.0002746693863674088;0.000204804952612554;0.9796747967479674;0.9024390243902439;0.00042963844272589147;0.00039658933174697666
0.001;0.3;0.3;0.0009;64;3;3;tanh;tanh;uniform;0.0556767976057883;0.09415515466414988;0.0001187865512204261;0.00022833512242411078;0.9634146341463414;0.8943089430894308;0.00039658933174697666;0.002511732434397515
