lambda,stepsize,momentum,batch_size,layer_number,neuron,activation,activation_output,mse_train,mse_test,mse_train_variance,mse_test_variance,acc_train,acc_test,acc_train_variance,acc_validation_variance
0.001,0.6,0.01,32,2,5,sigmoid,sigmoid,0.24510024011804524,0.27348630964846976,1.1318290511358605e-05,0.00026467940101116224,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,32,2,5,sigmoid,tanh,0.2451040993333419,0.27368898153521865,1.1385479475983636e-05,0.0002764339458551595,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,32,2,5,tanh,sigmoid,0.2450930302940131,0.2739391759192644,1.1305557967967403e-05,0.00028313863298345216,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,32,2,5,tanh,tanh,0.1929274260580195,0.29011626551427544,0.0012182867020589531,9.747598676546696e-05,0.7642276422764227,0.4146341463414634,0.016888095710225398,0.024985127900059485
0.001,0.6,0.01,32,6,5,sigmoid,sigmoid,0.245102672352835,0.2736452634908852,1.1328154378558906e-05,0.00027919825702079465,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,32,6,5,sigmoid,tanh,0.24509736972002613,0.2744012172252684,1.1302998335651115e-05,0.0002939310081162879,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,32,6,5,tanh,sigmoid,0.24509313926210363,0.2741071430814716,1.132012119720456e-05,0.000281646080836045,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,32,6,5,tanh,tanh,0.24511004495274194,0.2727501070464217,1.124763343739768e-05,0.0002488743427987951,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,1,2,5,sigmoid,sigmoid,0.25402349373701677,0.26656327063590096,0.00012477591861119255,9.09310718455075e-05,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.01,1,2,5,sigmoid,tanh,0.30670316954173354,0.30498957734286025,0.004758680105267839,0.0071070487464282295,0.5040650406504065,0.4878048780487805,0.004891268424879369,0.01943287725560183
0.001,0.6,0.01,1,2,5,tanh,sigmoid,0.06933015168020322,0.3776825626150397,0.0014568763964322238,0.008798143125941654,0.9268292682926829,0.5203252032520326,0.002082093991671623,0.013616233723312847
0.001,0.6,0.01,1,2,5,tanh,tanh,0.48516975674696033,0.485233598754544,0.052855927956460026,0.0351660661454786,0.5528455284552846,0.6341463414634148,0.038204772291625354,0.0027761253222288317
0.001,0.6,0.01,1,6,5,sigmoid,sigmoid,0.25291327276225056,0.26215577220046726,0.00010175325419771305,3.9588260909591425e-05,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.001,0.6,0.01,1,6,5,sigmoid,tanh,0.32249851300108684,0.27077148436034365,0.0019051187151515848,0.004500690062650601,0.4390243902439024,0.6178861788617888,0.0011897679952409283,0.005684447088373325
0.001,0.6,0.01,1,6,5,tanh,sigmoid,0.24845133033639155,0.2569739385638214,1.1245798313608271e-05,1.9290731857352522e-05,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.001,0.6,0.01,1,6,5,tanh,tanh,0.3736531613897142,0.4449775470833341,0.017503189702303842,0.0204015325762967,0.5040650406504065,0.4878048780487805,0.004891268424879369,0.01943287725560183
0.001,0.6,0.5,32,2,5,sigmoid,sigmoid,0.24514206815841943,0.2715731134068671,1.1137826109100444e-05,0.0002273178250707272,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.5,32,2,5,sigmoid,tanh,0.12352842932350838,0.34778448292777364,0.0005026971636253488,0.004115570694972238,0.8536585365853658,0.6260162601626016,0.0038667459845330167,0.0005287857756626356
0.001,0.6,0.5,32,2,5,tanh,sigmoid,0.033675199188938854,0.36028494370590464,0.0007620645289198535,0.0019733494371976875,0.9796747967479674,0.5853658536585367,0.000826227774472868,0.014673805274638121
0.001,0.6,0.5,32,2,5,tanh,tanh,0.010551804775002685,0.6191363678332565,3.4117181422782125e-06,0.05488468118037986,1.0,0.6341463414634146,0.0,0.01943287725560183
0.001,0.6,0.5,32,6,5,sigmoid,sigmoid,0.2451267753433555,0.2731691866406224,1.1382906490640486e-05,0.00024962470458773494,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.5,32,6,5,sigmoid,tanh,0.24537083251563563,0.2767684882068578,1.1712416592685147e-05,0.0003324307316942517,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.5,32,6,5,tanh,sigmoid,0.07582051575742733,0.398440754497775,0.00015250333160014156,0.010930089225353759,0.9227642276422764,0.4878048780487805,0.0002313437768524019,0.015466983938132067
0.001,0.6,0.5,32,6,5,tanh,tanh,0.045038531941222225,0.4923476780140545,0.0008560479015642824,0.005303431533926557,0.9552845528455284,0.4471544715447155,0.0010245224403463544,0.004891268424879373
0.001,0.6,0.5,1,2,5,sigmoid,sigmoid,0.2552367622183708,0.3260759385200651,1.3127056914897345e-05,0.002722667305541968,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.6,0.5,1,2,5,sigmoid,tanh,0.2167432190282684,0.3637633479041129,0.018480224892999168,0.007327181503473962,0.7235772357723578,0.4471544715447154,0.04930927358054069,0.0259105030074691
0.001,0.6,0.5,1,2,5,tanh,sigmoid,0.029807267176696847,0.38918938205807385,0.0012537648783801294,0.004101892184688784,0.9674796747967479,0.5447154471544716,0.0021151431026505377,0.01044351906933704
0.001,0.6,0.5,1,2,5,tanh,tanh,0.36971949352309513,0.43133013847274587,0.009419333661016938,0.010593072464680761,0.5975609756097561,0.4959349593495936,0.009022407297243703,0.014409412386806793
0.001,0.6,0.5,1,6,5,sigmoid,sigmoid,0.2477762183050325,0.2645103796963839,3.1280299746208864e-05,7.162273476729846e-05,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.001,0.6,0.5,1,6,5,sigmoid,tanh,0.27644389478958914,0.3574927909573061,0.0016724621424639237,0.017153799623648474,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.001,0.6,0.5,1,6,5,tanh,sigmoid,0.2484059388399007,0.29104039848731234,1.66549570622103e-05,0.0011959443441596537,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.001,0.6,0.5,1,6,5,tanh,tanh,0.27196395311711474,0.35289537329632065,0.0013090691584149614,0.014331054511271068,0.5528455284552846,0.39024390243902446,0.0021151431026505377,0.0075351973031925435
0.001,0.01,0.01,32,2,5,sigmoid,sigmoid,0.24724121615087244,0.25716520812461585,3.55899027829668e-06,2.5048736833777252e-05,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,32,2,5,sigmoid,tanh,0.24952685538912633,0.27388192817400464,1.2018811458907119e-05,0.0007484179425162472,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,32,2,5,tanh,sigmoid,0.24921344157852557,0.2516970299969182,3.278166901515334e-07,1.6490544409615037e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,32,2,5,tanh,tanh,0.271024877018504,0.2897374190847654,7.95253076580921e-05,0.003323861604956046,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.001,0.01,0.01,32,6,5,sigmoid,sigmoid,0.2472790869036751,0.2570514227997536,3.5341824879758125e-06,2.4713075692554054e-05,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,32,6,5,sigmoid,tanh,0.24929016595449363,0.27262857596559453,1.2988491569423198e-05,0.0006704279819994101,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,32,6,5,tanh,sigmoid,0.24920683595806706,0.2516849671768157,2.967600643386398e-07,1.4087501329565525e-06,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,32,6,5,tanh,tanh,0.2709782087559229,0.28862125533344,8.243227725934398e-05,0.0033159930215276626,0.5040650406504065,0.5040650406504066,0.004891268424879369,0.019565073699517484
0.001,0.01,0.01,1,2,5,sigmoid,sigmoid,0.2450937246753888,0.2746100571244198,1.1334647610475876e-05,0.00029665853268808444,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,1,2,5,sigmoid,tanh,0.24524983663604358,0.2740090825852526,1.1992211964031266e-05,0.0002799843354893631,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,1,2,5,tanh,sigmoid,0.2450924809685293,0.27434963946916885,1.1326388068872894e-05,0.00028934766783009517,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,1,2,5,tanh,tanh,0.24514763931372438,0.27596298046028145,1.1559336977888394e-05,0.00034528825393972907,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,1,6,5,sigmoid,sigmoid,0.24509645293527427,0.2744303018655238,1.133092916035584e-05,0.0002964570413487943,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,1,6,5,sigmoid,tanh,0.24554499639146576,0.28086797678577924,1.3148510004899618e-05,0.0003987834512884654,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,1,6,5,tanh,sigmoid,0.24509249326190571,0.2745864434513399,1.1325458512317021e-05,0.0002932767327807904,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.01,1,6,5,tanh,tanh,0.24519035585674645,0.2731478363417226,1.1631829401875063e-05,0.0002582350275157099,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.5,32,2,5,sigmoid,sigmoid,0.24516900464975133,0.27102580634759205,1.1095727571282555e-05,0.0002210155198256363,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.5,32,2,5,sigmoid,tanh,0.12496595218780664,0.3513688487008706,0.0004839806298244196,0.0026190726963005524,0.8577235772357724,0.5853658536585366,0.0014211117720933295,0.009914733293674394
0.001,0.01,0.5,32,2,5,tanh,sigmoid,0.034443611933893635,0.36076711458013816,0.0007600250323633781,0.0020697272596209605,0.9796747967479674,0.5853658536585367,0.000826227774472868,0.014673805274638121
0.001,0.01,0.5,32,2,5,tanh,tanh,0.0263440823975369,0.6661228712276115,0.000498576130857178,0.015469172560729176,1.0,0.6504065040650406,0.0,0.012029876396324945
0.001,0.01,0.5,32,6,5,sigmoid,sigmoid,0.2451209563696423,0.27446886006244986,1.1596356079984045e-05,0.0002998158017343114,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.5,32,6,5,sigmoid,tanh,0.24719080406115937,0.26562973842155313,9.765786317989644e-06,0.00040010487118474384,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.5,32,6,5,tanh,sigmoid,0.07775146870916182,0.40455132655657594,0.00017128108634944508,0.009704290241597387,0.9227642276422764,0.4796747967479675,0.0002313437768524019,0.012823055059818893
0.001,0.01,0.5,32,6,5,tanh,tanh,0.057689211089985794,0.6170089166198414,0.0002469272766977178,0.00107163999983284,0.991869918699187,0.6666666666666666,0.0001321964439156589,0.008063983078855176
0.001,0.01,0.5,1,2,5,sigmoid,sigmoid,0.2459994053121317,0.28268055798156044,1.6950170499205895e-05,0.000404509457388978,0.5609756097560976,0.3821138211382114,0.0011897679952409266,0.00568444708837332
0.001,0.01,0.5,1,2,5,sigmoid,tanh,0.138185817580178,0.3201720973484435,0.000632829269776185,0.0036074869980384553,0.8373983739837398,0.5447154471544716,0.002511732434397515,0.01202987639632494
0.001,0.01,0.5,1,2,5,tanh,sigmoid,0.030175959583593943,0.34432173018383644,0.00031526316722138304,0.0024282126055138794,0.9796747967479674,0.5772357723577236,0.000826227774472868,0.009650340405843085
0.001,0.01,0.5,1,2,5,tanh,tanh,0.06348665950159636,0.5512095621382803,0.00032930911471457433,0.007611824826646889,0.9552845528455284,0.4959349593495935,0.0009253751074096093,0.017582127040782606
